grid degree lamb width ; KAN_time ; KAN_acc ; current_best_mlp ; MLP_time ; layers neurons
3 3 0 [64, 60, 10] ; 61030882 ; 0.9629629850387573 ; 1.0 ; 9011317 ;  2 _ 171
3 3 0 [64, 62, 10] ; 67434662 ; 0.970370352268219 ; 1.0 ; 14309327 ;  2 _ 174
3 3 0 [64, 64, 10] ; 65896921 ; 0.9629629850387573 ; 1.0 ; 16354704 ;  2 _ 177
3 3 0 [64, 66, 10] ; 78994860 ; 0.9777777791023254 ; 1.0 ; 15891599 ;  2 _ 180
3 3 0 [64, 68, 10] ; 71867597 ; 0.9740740656852722 ; 1.0 ; 13724267 ;  2 _ 183
3 3 0 [64, 70, 10] ; 67191701 ; 0.9629629850387573 ; 1.0 ; 17222783 ;  2 _ 186
3 3 0 [64, 72, 10] ; 78789804 ; 0.9740740656852722 ; 1.0 ; 16945556 ;  2 _ 189
3 3 0 [64, 74, 10] ; 74024104 ; 0.9666666388511658 ; 1.0 ; 18214411 ;  2 _ 192
3 3 0 [64, 76, 10] ; 73553372 ; 0.9666666388511658 ; 1.0 ; 18997867 ;  2 _ 194
3 3 0 [64, 78, 10] ; 75062587 ; 0.9666666388511658 ; 1.0 ; 18383109 ;  2 _ 197
3 3 0 [64, 80, 10] ; 113873026 ; 0.970370352268219 ; 1.0 ; 21346399 ;  2 _ 200
3 3 0 [64, 82, 10] ; 86344964 ; 0.9666666388511658 ; 1.0 ; 16684202 ;  2 _ 203
3 3 0 [64, 84, 10] ; 108395799 ; 0.970370352268219 ; 1.0 ; 18151493 ;  2 _ 205
3 3 0 [64, 86, 10] ; 92984957 ; 0.970370352268219 ; 1.0 ; 20392039 ;  2 _ 208
3 3 0 [64, 88, 10] ; 103557188 ; 0.9666666388511658 ; 1.0 ; 19488290 ;  2 _ 210
3 3 0 [64, 90, 10] ; 96339892 ; 0.9740740656852722 ; 1.0 ; 23914328 ;  2 _ 213
3 3 0 [64, 92, 10] ; 104894422 ; 0.9740740656852722 ; 1.0 ; 19427303 ;  2 _ 216
3 3 0 [64, 94, 10] ; 103676479 ; 0.9666666388511658 ; 1.0 ; 19543720 ;  2 _ 218
3 3 0 [64, 96, 10] ; 124971604 ; 0.9629629850387573 ; 1.0 ; 20433808 ;  2 _ 221
3 3 0 [64, 98, 10] ; 111937515 ; 0.9814814925193787 ; 1.0 ; 20232443 ;  2 _ 223
3 3 0 [64, 100, 10] ; 134338645 ; 0.970370352268219 ; 1.0 ; 22194551 ;  2 _ 225
3 3 0 [64, 102, 10] ; 121932951 ; 0.9666666388511658 ; 1.0 ; 21233526 ;  2 _ 228
3 3 0 [64, 104, 10] ; 105876999 ; 0.970370352268219 ; 1.0 ; 21969002 ;  2 _ 230
3 3 0 [64, 106, 10] ; 125925252 ; 0.9777777791023254 ; 1.0 ; 22489399 ;  2 _ 233
3 3 0 [64, 108, 10] ; 117308082 ; 0.9666666388511658 ; 1.0 ; 22423283 ;  2 _ 235
3 3 0 [64, 110, 10] ; 142557941 ; 0.970370352268219 ; 1.0 ; 25137029 ;  2 _ 237
3 3 0 [64, 112, 10] ; 117986685 ; 0.9814814925193787 ; 1.0 ; 23208371 ;  2 _ 240
3 3 0 [64, 114, 10] ; 141473430 ; 0.970370352268219 ; 1.0 ; 20381450 ;  2 _ 242
3 3 0 [64, 116, 10] ; 132103168 ; 0.9777777791023254 ; 1.0 ; 22905894 ;  2 _ 244
3 3 0 [64, 118, 10] ; 132604076 ; 0.9777777791023254 ; 1.0 ; 22484409 ;  2 _ 246
3 3 0 [64, 120, 10] ; 130408047 ; 0.9740740656852722 ; 1.0 ; 24076272 ;  2 _ 249
3 3 0 [64, 122, 10] ; 148992224 ; 0.9777777791023254 ; 1.0 ; 26034034 ;  2 _ 251
3 3 0 [64, 124, 10] ; 147294133 ; 0.9666666388511658 ; 1.0 ; 21604963 ;  2 _ 253
3 3 0 [64, 126, 10] ; 146802606 ; 0.9740740656852722 ; 1.0 ; 25649693 ;  2 _ 255
3 3 0 [64, 128, 10] ; 151073600 ; 0.9666666388511658 ; 1.0 ; 21838573 ;  2 _ 257
3 3 0 [64, 130, 10] ; 138404020 ; 0.9666666388511658 ; 1.0 ; 25678108 ;  2 _ 259
3 4 0 [64, 48, 10] ; 62542758 ; 0.9777777791023254 ; 1.0 ; 16660795 ;  2 _ 166
3 4 0 [64, 50, 10] ; 76539202 ; 0.9777777791023254 ; 1.0 ; 15619561 ;  2 _ 170
3 4 0 [64, 52, 10] ; 69752666 ; 0.970370352268219 ; 1.0 ; 13671165 ;  2 _ 173
3 4 0 [64, 54, 10] ; 72809185 ; 0.9666666388511658 ; 1.0 ; 14474276 ;  2 _ 177
3 4 0 [64, 56, 10] ; 68968166 ; 0.9777777791023254 ; 1.0 ; 15932692 ;  2 _ 181
3 4 0 [64, 58, 10] ; 71982407 ; 0.970370352268219 ; 1.0 ; 16769875 ;  2 _ 184
3 4 0 [64, 60, 10] ; 76155644 ; 0.9777777791023254 ; 1.0 ; 16300351 ;  2 _ 188
3 4 0 [64, 62, 10] ; 83357554 ; 0.9740740656852722 ; 1.0 ; 17539672 ;  2 _ 191
3 4 0 [64, 64, 10] ; 80938101 ; 0.970370352268219 ; 1.0 ; 14929927 ;  2 _ 194
3 4 0 [64, 66, 10] ; 90654606 ; 0.970370352268219 ; 1.0 ; 18511313 ;  2 _ 198
3 4 0 [64, 68, 10] ; 83346252 ; 0.9629629850387573 ; 1.0 ; 16868129 ;  2 _ 201
3 4 0 [64, 70, 10] ; 74144586 ; 0.9629629850387573 ; 1.0 ; 21996970 ;  2 _ 204
3 4 0 [64, 72, 10] ; 88586629 ; 0.9629629850387573 ; 1.0 ; 21639198 ;  2 _ 207
